config,pt_min,pt_max,pt_center,y_ee,e_ee,y_eeg,e_eeg,raw_eeg,pol2_eeg,eeg_over_ee,ee_over_eeg,fit_mean,fit_sigma,fit_chi2,fit_ndf
nominal,0.8,1.0,0.9,23929.0,154.69001260585637,3414.0770739806276,71.68681887209112,5139.0,1724.9229260193729,0.14267529248947416,7.008922025330873,0.13212110380367242,0.01110854176494792,1263.5658068838727,285
nominal,1.0,1.3,1.15,33129.0,182.01373574541017,5074.530000642796,85.17041739947034,7254.0,2179.4699993572035,0.15317486192287108,6.528486381163086,0.1317009046556005,0.010925803969634391,774.0260528757294,286
nominal,1.3,1.7,1.5,21202.0,145.60906565183365,3833.7134731142683,70.83784299369935,5018.0,1184.2865268857329,0.1808184828371978,5.5304080883167375,0.13172607167425882,0.010950709389710376,441.4273217561305,286
nominal,1.7,2.0,1.85,7820.0,88.43076387773658,1520.5938601092823,43.32435804486894,1877.0,356.40613989071755,0.19444934272497216,5.142727591598976,0.13151853570574876,0.011339769800367293,402.90991836968334,286
nominal,2.0,2.5,2.25,5818.0,76.27581530209953,1236.9549800167604,38.781438859330635,1504.0,267.0450199832396,0.21260828119916816,4.70348565145125,0.13159472832609742,0.011335285625207603,281.5210691173338,285
nominal,2.5,3.0,2.75,2021.0,44.955533585978046,489.68466730533214,23.769728648009426,565.0,75.31533269466775,0.2422982025261416,4.127145763254723,0.13280436380667526,0.011231210997642542,298.02616798485775,271
nominal,3.0,4.0,3.5,1056.9490246949167,32.511536451682616,258.1709010391121,17.776388834631177,316.0,57.82909896088791,0.24426050358827087,4.093989758105202,0.13278649693998026,0.011394502165106445,138.50816458340108,233
nominal,4.0,5.0,4.5,198.0,14.071247279470288,21.366629595584595,8.06225774829855,65.0,43.6333704044154,0.10791227068477068,9.266786748665153,0.12819924792940987,0.0069366629568091715,17.894469704818523,100
nominal,5.0,7.0,6.0,80.94485294117649,9.000005631846568,-19.843894696312283,4.69041575982343,22.0,41.843894696312276,-0.24515326145237495,-4.079080955626064,0.12483655564782394,0.006000000858527397,2.347778678465394,46
nominal,7.0,10.0,8.5,14.0,3.7416573867739413,-35.995944478588775,2.0,4.0,39.99594447858878,-2.5711388913277697,-0.3889327034696235,0.13990551083901964,0.026609712479156295,2.8859603607639136e-07,3
conv_solution,0.8,1.0,0.9,30581.754981048394,174.89425393117457,4135.331134713796,80.34923770640266,6456.0,2320.6688652862035,0.13522216554532182,7.395237282047775,0.13202074371583875,0.011066970849416328,1542.3336553222618,285
conv_solution,1.0,1.3,1.15,40132.77340543116,200.3621726952963,5923.192037409153,93.13431161500041,8674.0,2750.807962590847,0.147589900592506,6.775531360787269,0.1315498151498722,0.010940249966195166,895.6123886644926,286
conv_solution,1.3,1.7,1.5,24481.20423067565,156.4896171660645,4293.60918338253,75.61084578286372,5717.0,1423.390816617471,0.17538390444055507,5.701777498852192,0.13160492971519036,0.011088307977916859,444.0316493236466,286
conv_solution,1.7,2.0,1.85,8637.994949504398,92.95698053651198,1641.7051032777451,45.17742799230607,2041.0,399.29489672225486,0.19005627033527467,5.2615996211854466,0.13159358909324534,0.011292977614725662,424.1297638788564,286
conv_solution,2.0,2.5,2.25,6297.039659123245,79.36624106129975,1306.9673675402569,40.049968789001575,1604.0,297.0326324597427,0.20755266574297385,4.81805423418828,0.13166068749783916,0.011288264174341906,294.26414710591115,285
conv_solution,2.5,3.0,2.75,2144.7547262540547,46.3141448811533,512.4673297812502,24.289915602982237,590.0,77.53267021874987,0.23893983004588396,4.185154060785799,0.13257915864917172,0.011197539874525573,327.703016528372,276
conv_solution,3.0,4.0,3.5,1106.6431728644181,33.271611322646855,267.41221371896205,18.138357147217054,329.0,61.58778628103797,0.24164267243143642,4.138341915928527,0.13317618579280027,0.011284228163625365,152.8166486362458,240
conv_solution,4.0,5.0,4.5,202.0,14.212670403551895,23.624021290910132,8.306623862918075,69.0,45.37597870908986,0.11695060045005017,8.5506187753786,0.1276618942879497,0.00691778791142469,19.333601213103798,103
conv_solution,5.0,7.0,6.0,80.88970588235297,9.000022527365116,-19.843894696312283,4.69041575982343,22.0,41.843894696312276,-0.24532039620929638,-4.076301911508592,0.12483655564782394,0.006000000858527397,2.347778678465394,46
conv_solution,7.0,10.0,8.5,15.0,3.872983346207417,-35.995944478588775,2.0,4.0,39.99594447858878,-2.3997296319059185,-0.4167136108603109,0.13990551083901964,0.026609712479156295,2.8859603607639136e-07,3
conv_tight,0.8,1.0,0.9,15021.0,122.56018929489298,2177.6279363013964,56.894639466297704,3237.0,1059.3720636986034,0.14497223462495148,6.897872565647048,0.13259808683348911,0.010414165373204904,965.9939349061162,281
conv_tight,1.0,1.3,1.15,21360.0,146.15060725156087,3263.1136319525194,68.06614430096654,4633.0,1369.886368047481,0.1527674921326086,6.545895242765117,0.13234336873187721,0.010355396856640572,662.1446697603011,286
conv_tight,1.3,1.7,1.5,14465.0,120.2705283932851,2622.3043448440626,58.35237784358063,3405.0,782.6956551559365,0.18128616279599466,5.516140805105585,0.13216733131676414,0.010592182968759757,396.22972283618395,286
conv_tight,1.7,2.0,1.85,5701.0,75.50496672405067,1095.7684367313336,36.823905279043935,1356.0,260.2315632686667,0.19220635620616272,5.202741572850945,0.13188555532491555,0.011042923440492037,291.6324140724314,283
conv_tight,2.0,2.5,2.25,4250.0,65.19202405202648,901.8133552191482,32.984845004941285,1088.0,186.18664478085168,0.21219137769862312,4.712726835773257,0.13166386773832822,0.011139276227005099,333.1593064794539,285
conv_tight,2.5,3.0,2.75,1492.0,38.62641583165593,349.2291515403586,20.149441679609886,406.0,56.77084845964149,0.23406779593857815,4.272266485827937,0.13398063157335724,0.010468811812320603,226.7859269885386,257
conv_tight,3.0,4.0,3.5,781.0,27.94637722496424,179.55690154343105,15.329709716755891,235.0,55.44309845656894,0.22990640402487972,4.34959610734368,0.13410058443970027,0.010540094140720997,94.67143239385025,206
conv_tight,4.0,5.0,4.5,154.0,12.409673645990857,9.726226287588347,7.14142842854285,51.0,41.273773712411646,0.06315731355576848,15.833479033540444,0.13079169640958604,0.006000002793849886,12.55790106680236,81
conv_tight,5.0,7.0,6.0,58.944852941176485,7.681152346703579,-23.751871988998413,4.123105625617661,17.0,40.75187198899842,-0.40295073791602115,-2.481692936391668,0.13263586879446088,0.008228675281847337,1.3032693115298724,35
conv_tight,7.0,10.0,8.5,9.0,3.0,-35.79037608363168,1.4142135623730951,2.0,37.790376083631685,-3.976708453736853,-0.2514642477902334,0.11685109132202615,0.01764525849089678,3.83455863231849e-06,0
ecore04,0.8,1.0,0.9,23929.0,154.69001260585637,2507.9714984169495,57.645468165329355,3323.0,815.0285015830502,0.1048088720137469,9.54117700903067,0.1323709912746076,0.011061906184319346,582.1703589586033,285
ecore04,1.0,1.3,1.15,33129.0,182.01373574541017,3883.4100144245645,70.27090436304346,4938.0,1054.5899855754358,0.1172208643310865,8.530904508394793,0.1318592547851404,0.010878488355036946,383.99608060418217,286
ecore04,1.3,1.7,1.5,21202.0,145.60906565183365,2948.931787303348,59.64059020499378,3557.0,608.0682126966524,0.1390874345487854,7.189722085565153,0.1320106198052523,0.010707112033745846,328.64176225791783,286
ecore04,1.7,2.0,1.85,7820.0,88.43076387773658,1193.9863594534731,36.945906403822335,1365.0,171.01364054652623,0.15268367767947227,6.5494885582943105,0.13204055263449527,0.011688517776333621,311.97102781024904,285
ecore04,2.0,2.5,2.25,5818.0,76.27581530209953,1016.5983051880951,33.793490497431605,1142.0,125.40169481190468,0.17473329411964508,5.723007770432521,0.13173462441305298,0.011213117461112176,312.09943991442907,282
ecore04,2.5,3.0,2.75,2021.0,44.955533585978046,373.95928996154976,20.784609690826528,432.0,58.04071003845027,0.1850367590111577,5.404331579001013,0.13282489241162398,0.01047844261126617,178.3201199073502,247
ecore04,3.0,4.0,3.5,1056.9490246949167,32.511536451682616,203.28867077493146,15.874507866387544,252.0,48.71132922506852,0.19233535962967538,5.1992519832308055,0.13333419091463325,0.01125241374327104,79.9496346249017,199
ecore04,4.0,5.0,4.5,198.0,14.071247279470288,14.533497543987302,7.54983443527075,57.0,42.46650245601269,0.07340150274741061,13.623699278217801,0.12906368993737047,0.006609992788303609,12.787206384317308,79
ecore04,5.0,7.0,6.0,80.94485294117649,9.000005631846568,-21.271578229070478,4.358898943540674,19.0,40.27157822907048,-0.26279099233806463,-3.805305467675851,0.13302449595826987,0.01307708982131959,1.8958808972452856,34
ecore04,7.0,10.0,8.5,14.0,3.7416573867739413,-35.99678073114037,2.0,4.0,39.99678073114036,-2.5711986236528834,-0.38892366805148143,0.1035402635863407,0.04062030569073908,9.664234434026018e-08,1
ecore05,0.8,1.0,0.9,23929.0,154.69001260585637,1811.7893355945696,47.59201613716318,2265.0,453.2106644054303,0.07571521315535834,13.207385389619423,0.13276954449375325,0.011053083377206133,391.8560087291412,285
ecore05,1.0,1.3,1.15,33129.0,182.01373574541017,3003.797328145683,60.01666435249463,3602.0,598.2026718543167,0.0906697252602156,11.029039705701894,0.13213154194728174,0.010848779393878622,359.8041289941069,286
ecore05,1.3,1.7,1.5,21202.0,145.60906565183365,2239.840717855072,50.7444578254611,2575.0,335.15928214492794,0.10564289773866012,9.46585167015964,0.13232503324459774,0.010717122244383388,317.6955574270348,286
ecore05,1.7,2.0,1.85,7820.0,88.43076387773658,925.9553655213066,32.29551052391029,1043.0,117.04463447869333,0.11840861451679112,8.445331482686958,0.1324957281591243,0.0119579282768973,300.64696886256735,277
ecore05,2.0,2.5,2.25,5818.0,76.27581530209953,796.2845602830081,29.58039891549808,875.0,78.71543971699202,0.13686568585132486,7.306433265429911,0.1320356442085945,0.010525018756251456,286.1453222845319,276
ecore05,2.5,3.0,2.75,2021.0,44.955533585978046,306.87149112333594,19.0,361.0,54.12850887666402,0.1518414107488055,6.585818684563734,0.13343521708717293,0.009861881026675318,111.87431566341272,217
ecore05,3.0,4.0,3.5,1056.9490246949167,32.511536451682616,152.61479623872856,14.071247279470288,198.0,45.38520376127142,0.14439182275869936,6.925599946689168,0.13272508334967925,0.00973252454122561,58.82103429844908,166
ecore05,4.0,5.0,4.5,198.0,14.071247279470288,2.462750230861675,6.855654600401044,47.0,44.53724976913834,0.012438132479099369,80.39792160763422,0.13235797445548783,0.0060000013455766615,11.819169341438444,57
ecore05,5.0,7.0,6.0,80.94485294117649,9.000005631846568,-26.139125223853096,3.872983346207417,15.0,41.1391252238531,-0.3229251060947468,-3.0966932614604397,0.14040081659267534,0.006000000356208258,1.134691296744881,26
ecore05,7.0,10.0,8.5,14.0,3.7416573867739413,-35.99678073114037,2.0,4.0,39.99678073114036,-2.5711986236528834,-0.38892366805148143,0.1035402635863407,0.04062030569073908,9.664234434026018e-08,1
pte03,0.8,1.0,0.9,20696.0,143.86104406683555,2931.8305301334867,66.6783323126786,4446.0,1514.1694698665137,0.14166169936864548,7.0590710435973625,0.13213865277840434,0.011043099882351129,1135.4970707080236,282
pte03,1.0,1.3,1.15,30530.0,174.72836060582725,4671.705661295573,81.68231142664855,6672.0,2000.294338704427,0.15302016578105382,6.535086371758558,0.13165883321108984,0.010866648025214212,797.7413717261958,286
pte03,1.3,1.7,1.5,20094.0,141.7533068397348,3657.7144166106696,69.16646586316233,4784.0,1126.285583389331,0.18203017898928384,5.493594554224276,0.1317654772600148,0.010995019722078524,441.5641740403379,286
pte03,1.7,2.0,1.85,7575.0,87.03447592764606,1484.194677494304,42.80186911806539,1832.0,347.80532250569576,0.19593329075832394,5.103777903845145,0.13140789122198696,0.011305664469667768,399.77952188073675,286
pte03,2.0,2.5,2.25,5712.0,75.57777451076474,1227.7828265653727,38.600518131237564,1490.0,262.2171734346276,0.2149479738384756,4.652288561470498,0.1315742174169847,0.011332012757516842,280.8069832211516,285
pte03,2.5,3.0,2.75,1994.0,44.654227123532216,485.2840259318909,23.664319132398465,560.0,74.71597406810909,0.24337212935400745,4.108933930332699,0.1330330952234233,0.011446309303570549,290.81862230213824,271
pte03,3.0,4.0,3.5,1050.9483681270215,32.41913020172312,255.30781126693046,17.69180601295413,313.0,57.69218873306957,0.2429308793941369,4.116397234036172,0.1327053163112216,0.011512468850107059,138.69430853674626,233
pte03,4.0,5.0,4.5,198.0,14.071247279470288,21.366629595584595,8.06225774829855,65.0,43.6333704044154,0.10791227068477068,9.266786748665153,0.12819924792940987,0.0069366629568091715,17.894469704818523,100
pte03,5.0,7.0,6.0,80.95271867612294,9.000006209785601,-19.843894696312283,4.69041575982343,22.0,41.843894696312276,-0.2451294412446367,-4.0794773362291075,0.12483655564782394,0.006000000858527397,2.347778678465394,46
pte03,7.0,10.0,8.5,14.0,3.7416573867739413,-35.995944478588775,2.0,4.0,39.99594447858878,-2.5711388913277697,-0.3889327034696235,0.13990551083901964,0.026609712479156295,2.8859603607639136e-07,3
pte04,0.8,1.0,0.9,8125.0,90.13878188659973,1155.9894826505886,41.060930335295616,1686.0,530.0105173494114,0.1422756286339186,7.0286106594759366,0.13198319967321084,0.010711084359859856,647.9181066397442,268
pte04,1.0,1.3,1.15,21530.0,146.7310464761974,3286.993213158846,68.16890786861705,4647.0,1360.0067868411536,0.1526703768304155,6.550059158567404,0.13177902061191277,0.01087173610747336,756.7143985305466,286
pte04,1.3,1.7,1.5,16490.0,128.41339493993607,2988.744067147804,62.4099351065197,3895.0,906.255932852195,0.18124585003928464,5.517367706809575,0.13155815393470738,0.011002978209451215,385.9457002924004,286
pte04,1.7,2.0,1.85,6793.0,82.41965784932621,1349.258501915872,40.8166632639171,1666.0,316.741498084128,0.19862483467037717,5.034617154795999,0.13146713788473233,0.011390499275928598,367.483656344247,286
pte04,2.0,2.5,2.25,5313.0,72.89032857656768,1150.1402623199515,37.255872020394314,1388.0,237.85973768004916,0.21647661628457585,4.619436580094267,0.13165044218782906,0.011335455880356322,274.48274444696597,285
